source_map,example_id,domain,stage_index,instruction,current_evaluator,expected_artifact,status,snapshot_support,input_snapshot,gold_snapshot,merged_stage_indices,merged_artifacts,example_json,notes,recommended_fix
Microsoft_01,c6a07859-7152-171f-68df-eeb78467c6d6,excel,3,"Could you generate a clustered column chart based on the data in Excel, and then copy the clustered column chart as an image from Excel?",compare_xlsx_files,xlsx,partial,missing,20251209_222149,20251209_222307,"[3, 4]","[""clipboard"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/c6a07859-7152-171f-68df-eeb78467c6d6.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator. | Merged stage spans multiple artifact types: clipboard. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_02,df08c459-2487-48a5-2995-0f3e3cec5340,multi_app,7,"Could you insert a 4×4 table below the image in the Word document and paste the Excel chart into the upper-right cell of that table, and then save the Word document and archive the Excel source data file synchronously?",compare_docx_files,docx,partial,partial,20251210_181107,20251210_181207,"[7, 8]","[""docx"", ""docx|xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/df08c459-2487-48a5-2995-0f3e3cec5340.json,Target file changed between snapshots. | Merged stage spans multiple artifact types: docx|xlsx. | Original snapshots include observable transitions for at least one extra artifact stage.,Split the merged task into separate examples using the intermediate snapshots.
Microsoft_09,7528f817-3889-0954-188e-1074d94f42de,word,6,"calculate the profitability for each customer in the Excel sheet, and then analyze the customer profit data in Excel to identify key trends and insights, and then format the profit data in Excel, and then open Microsoft Word 365 and create a new document for the analysis report?",compare_docx_files,docx,partial,partial,20260105_185341,20260105_185444,"[2, 3, 4, 6]","[""docx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/7528f817-3889-0954-188e-1074d94f42de.json,Target file changed between snapshots. | Merged stage spans multiple artifact types: xlsx. | Original snapshots include observable transitions for at least one extra artifact stage.,Split the merged task into separate examples using the intermediate snapshots.
Microsoft_23,0d5ce6a4-ae75-d131-0c55-f21aa1d9625f,excel,1,"Could you open the provided table in Excel and unmerge the cells containing Year and Department information, and then calculate the expense growth for each department from 2024 to 2025 in Excel, and then calculate the growth percentage for each department in Excel, and then create a chart in Excel to visualize the growth percentage of each department, and then prepare a report document in Word to present the expense growth and the chart?",compare_xlsx_files,xlsx,partial,missing,20260107_211705,20260107_212956,"[1, 2, 3, 4, 5]","[""docx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0d5ce6a4-ae75-d131-0c55-f21aa1d9625f.json,Target file appeared between snapshots. | Merged stage spans multiple artifact types: docx. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_25,f39adf72-bff5-4f4a-7e64-7143a233914a,excel,1,"Could you create a sales table in Excel for the transactions from 2024 to 2025, separated into two sheets, and then create a chart in Excel to show the quarterly sales detail for both years? Could you calculate and display the growth rate for each quarter in the chart, and then prepare a report document in Word to present the quarterly sales detail and growth rates, and then add a column to each sheet to categorize the transactions by quarter, and then create a chart in Excel to show the quarterly sales detail for both years? Could you calculate and display the growth rate for each quarter in the chart?",compare_xlsx_files,xlsx,partial,partial,20260108_220031,20260108_221320,"[1, 4, 5, 2, 3]","[""xlsx"", ""xlsx|docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/f39adf72-bff5-4f4a-7e64-7143a233914a.json,Target file appeared between snapshots. | Merged stage spans multiple artifact types: xlsx|docx. | Original snapshots include observable transitions for at least one extra artifact stage.,Split the merged task into separate examples using the intermediate snapshots.
Microsoft_28,7ef063c9-0008-c6d1-c31b-2b4476516412,excel,1,"Could you consolidate the Quarter 1 expense data from different files into a single Excel workbook, and then create a summary table in the Excel workbook that shows which staff members' expenses are above or below the average? Could you identify and highlight the staff members with the highest and lowest expenses in the Excel workbook, and then prepare a report document in Word to present the findings on staff expenses, and then standardize the format of the consolidated expense data in the Excel workbook? Could you calculate the average, highest, and lowest expenses for each staff member in the Excel workbook?",compare_xlsx_files,xlsx,partial,missing,20260109_203956,20260109_211731,"[1, 3, 4, 2]","[""docx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/7ef063c9-0008-c6d1-c31b-2b4476516412.json,Target file appeared between snapshots. | Merged stage spans multiple artifact types: docx. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_29,084f5a56-2d7c-53c2-7462-ccd0617a4020,excel,3,"Could you create a chart in Excel to visualize the sales performance and gaps, and then prepare a report document in Word to present the sales performance of each team member, and then copy the sales performance data from Excel and paste it into the Word report document, and then format the Word report to clearly show the gap for each month and each team member's performance, and then save the final Word report as a PDF for the boss to review?",compare_xlsx_files,xlsx,partial,missing,20260110_123602,20260110_124147,"[3, 4, 5, 6, 7]","[""docx"", ""pdf"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/084f5a56-2d7c-53c2-7462-ccd0617a4020.json,"Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator. | Merged stage spans multiple artifact types: docx, pdf. | Original snapshots do not provide separate observable transitions for the extra artifact targets.",Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_30,70428f62-a2e5-2462-4992-e1aebf7a3d29,excel,1,"Could you open the expense detail file and identify the sheets for each department, and then add a feature to select and display the top or bottom N spenders in the summary sheet, and then prepare a report document to present the summary and the selected top or bottom N spenders, and then export the final report to a PDF format, and then create a summary sheet to consolidate the total expenses for each team?",compare_xlsx_files,xlsx,partial,missing,20260110_144901,20260110_150004,"[1, 3, 4, 5, 2]","[""pdf"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/70428f62-a2e5-2462-4992-e1aebf7a3d29.json,Target file appeared between snapshots. | Merged stage spans multiple artifact types: pdf. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_31,a41fe5b2-fe17-4bc3-f590-ae5240a0549f,excel,1,"Could you create a table in Excel to summarize the performance of 3 shops from 2023 to 2025, and then calculate the growth percentage for each year for the total of the 3 shops in Excel, and then create a column chart in Excel to visualize the performance of the 3 shops from 2023 to 2025, and then prepare a report document in Word to present the performance data and the growth percentages, and then copy the column chart from Excel and paste it into the Word report document, and then save the final report as a PDF?",compare_xlsx_files,xlsx,partial,partial,20260110_222451,20260110_223956,"[1, 2, 3, 4, 5, 6]","[""docx"", ""pdf"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/a41fe5b2-fe17-4bc3-f590-ae5240a0549f.json,"Target file appeared between snapshots. | Merged stage spans multiple artifact types: docx, pdf. | Original snapshots include observable transitions for at least one extra artifact stage.",Split the merged task into separate examples using the intermediate snapshots.
Microsoft_34,63fd525e-75a7-df47-beb2-3a2999231b3c,excel,4,"Could you save the Excel workbook as Project_Tracking.xlsx on the Desktop, and then open the Word document named material/Project_Report.docx?",compare_xlsx_files,xlsx,partial,partial,20260111_005307,20260111_005402,"[4, 5]","[""docx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/63fd525e-75a7-df47-beb2-3a2999231b3c.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator. | Merged stage spans multiple artifact types: docx. | Original snapshots include observable transitions for at least one extra artifact stage.,Split the merged task into separate examples using the intermediate snapshots.
Microsoft_46,c09f7e89-ad86-6c01-3027-0fa253c275a4,excel,3,"Could you create a chart in Excel to visually represent the project progress based on the data in the table, and then prepare a report document in Word to summarize the project progress, and then insert the project progress chart from Excel into the Word report document, and then save the final Word report document as a PDF?",compare_xlsx_files,xlsx,partial,missing,20260112_142705,20260112_143308,"[3, 4, 5, 6]","[""docx"", ""pdf"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/c09f7e89-ad86-6c01-3027-0fa253c275a4.json,"Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator. | Merged stage spans multiple artifact types: docx, pdf. | Original snapshots do not provide separate observable transitions for the extra artifact targets.",Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_70,e5e7e988-0110-80b2-5642-f94f9ee30fff,excel,5,"Could you rename the new worksheet to 'Revenue Forecast' and save the Excel file as Sales_Analysis_Model.xlsx on the Desktop, and then prepare a new PowerPoint presentation for the business analysis deliverable by opening an existing template and saving it as Sales_Performance_Presentation.pptx?",compare_xlsx_files,xlsx,partial,missing,20260114_190811,20260114_191118,"[5, 6]","[""pptx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/e5e7e988-0110-80b2-5642-f94f9ee30fff.json,Could not find a workbook sheet rename transition. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator. | Merged stage spans multiple artifact types: pptx. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_71,588157b8-8303-1a6b-b157-192bb249b4f1,excel,1,"Could you create a list of staff registered for the 3-day event in Excel, and then format the Excel list to make it easy to read and presentable for the boss, and then prepare a Word document to present the staff profiles to the boss? Could you copy the formatted staff list from Excel into the Word document? Could you save the final Word document with the staff profiles for the boss to view, and then add columns for join date, department, and current salary to the staff list in Excel? Could you fill in the join date, department, and current salary for each staff member in the Excel list?",compare_xlsx_files,xlsx,partial,missing,20260114_145733,20260114_150944,"[1, 3, 4, 2]","[""docx"", ""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/588157b8-8303-1a6b-b157-192bb249b4f1.json,Target file appeared between snapshots. | Merged stage spans multiple artifact types: docx. | Original snapshots do not provide separate observable transitions for the extra artifact targets.,Keep as partial or rewrite the instruction to the retained artifact only.
Microsoft_01,984208c2-d49e-3769-0277-2bc645f48b64,excel,1,"Could you create a new worksheet in Excel and enter the product names, first-quarter and second-quarter sales figures, and calculate the year-over-year growth rate?",compare_xlsx_files,xlsx,qualified,full,20251209_221844,20251209_222104,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/984208c2-d49e-3769-0277-2bc645f48b64.json,Workbook non-empty cells increased from 4 to 13.,
Microsoft_01,0fe4a6ae-3e16-2d3f-b60f-c8725c36482e,excel,2,Could you apply conditional formatting to add data bars to the growth-rate column in Excel?,compare_xlsx_files,xlsx,qualified,full,20251209_222104,20251209_222149,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0fe4a6ae-3e16-2d3f-b60f-c8725c36482e.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_01,30578ef6-9348-516f-4d1f-c485b8372b2a,word,5,Could you create a new Word document for the professional report?,compare_docx_files,docx,qualified,full,20251209_222307,20251209_222526,[5],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/30578ef6-9348-516f-4d1f-c485b8372b2a.json,Target file changed between snapshots.,
Microsoft_01,8ccf9c93-4988-42f7-5f8b-b2a19f1200bf,word,6,Could you paste the Excel chart image into the Word document?,compare_docx_files,docx,qualified,full,20251209_222526,20251209_222531,[6],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/8ccf9c93-4988-42f7-5f8b-b2a19f1200bf.json,Target file changed between snapshots.,
Microsoft_01,395f800b-f2f6-d487-792c-abfb08e3a8d0,word,7,Could you save the Word document as a PDF?,compare_pdfs,pdf,qualified,full,20251209_222531,20251209_222625,[7],"[""pdf""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/395f800b-f2f6-d487-792c-abfb08e3a8d0.json,Target file appeared between snapshots.,
Microsoft_02,4ed2c139-91af-9c93-b4f9-9dd159e8d535,excel,1,Could you create a new worksheet in Excel and enter the students' names along with their midterm and final Chinese test scores?,compare_xlsx_files,xlsx,qualified,full,20251210_180213,20251210_180322,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/4ed2c139-91af-9c93-b4f9-9dd159e8d535.json,Workbook non-empty cells increased from 33 to 34.,
Microsoft_02,1cc9b8ca-378d-8c49-59b9-cc8e54a54bc5,excel,2,"Could you calculate each student's score improvement rate and sort the results in descending order, then mark the top three students with the greatest improvement?",compare_xlsx_files,xlsx,qualified,full,20251210_180322,20251210_180612,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/1cc9b8ca-378d-8c49-59b9-cc8e54a54bc5.json,Workbook non-empty cells increased from 34 to 44.,
Microsoft_02,2e72728c-88d9-7f34-66ce-6a3516539e94,excel,3,Could you generate a 'Midterm–Final Score Change Line Chart' based on the data and copy it as an image?,compare_xlsx_files,xlsx,qualified,full,20251210_180612,20251210_180728,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/2e72728c-88d9-7f34-66ce-6a3516539e94.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_02,479ed484-f948-5d04-5eed-f78700a49610,word,4,Could you create a new landscape document in Word and insert a table?,compare_docx_files,docx,qualified,full,20251210_180728,20251210_180933,[4],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/479ed484-f948-5d04-5eed-f78700a49610.json,Target file changed between snapshots.,
Microsoft_02,d38fab1d-9e29-6cc7-7a8b-91d02cb586e1,multi_app,5,"Could you enter the blue, bold main title 'Chinese Class Performance Growth Analysis Report' in the upper-left cell of the Word table and paste the Excel chart in the upper-right cell?",compare_docx_files,docx,qualified,full,20251210_180933,20251210_181003,[5],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/d38fab1d-9e29-6cc7-7a8b-91d02cb586e1.json,Target file changed between snapshots.,
Microsoft_02,9cccb190-fd8d-68fb-7293-39f8878a95ac,multi_app,6,Could you paste the formatted score data table with source formatting preserved in the middle-left cell of the Word table?,compare_docx_files,docx,qualified,full,20251210_181003,20251210_181107,[6],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/9cccb190-fd8d-68fb-7293-39f8878a95ac.json,Target file changed between snapshots.,
Microsoft_03,36068610-99d6-bc6f-da80-0c27b4228855,multi_app,1,Could you create a new folder named 'Records' in the 'Movie Box Office Data' folder?,compare_directory_tree,directory_state,qualified,full,20251222_010422,20251222_010915,[1],"[""directory_state""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/36068610-99d6-bc6f-da80-0c27b4228855.json,Directory 'Movie Box Office Data/Records' appeared between snapshots.,
Microsoft_03,45856805-cb8c-add9-0b60-ad34067b3b2c,multi_app,2,"Could you create two subfolders inside the 'Records' folder, named according to box office criteria (e.g., 'Daily Box Office 50 Million +')?",compare_directory_tree,directory_state,qualified,full,20251222_010915,20251222_010947,[2],"[""directory_state""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/45856805-cb8c-add9-0b60-ad34067b3b2c.json,Required subdirectories appeared under the Records folder.,
Microsoft_03,db47973d-116e-cba2-f1da-c0e685ccf66b,multi_app,3,Could you categorize the seven movie box office .jpg files from the 'Movie Box Office Data' folder based on whether the daily box office exceeds 50 million and move them into their respective category folders?,compare_directory_tree,directory_state,qualified,full,20251222_010947,20251222_011132,[3],"[""directory_state""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/db47973d-116e-cba2-f1da-c0e685ccf66b.json,Found 7 classified image files under the Records folder.,
Microsoft_03,0e998520-dce2-76ae-7b11-c71a29352dca,excel,4,"Could you compile the box office data from these images into the corresponding worksheet of the 'Seven-Day Box Office Summary.xlsx' file, including columns for 'Daily Box Office,' 'Total Tickets Sold,' 'Online Tickets Sold,' 'Operating Cinemas,' 'Total Screenings,' and 'Average Ticket Price.'?",compare_xlsx_files,xlsx,qualified,full,20251222_011132,20251222_011256,[4],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0e998520-dce2-76ae-7b11-c71a29352dca.json,Target file appeared between snapshots.,
Microsoft_03,700fd59f-e3e6-22a9-bbe4-18e48690c507,excel,4,"Could you compile the box office data from these images into the corresponding worksheet of the 'Seven-Day Box Office Summary.xlsx' file, including columns for 'Daily Box Office,' 'Total Tickets Sold,' 'Online Tickets Sold,' 'Operating Cinemas,' 'Total Screenings,' and 'Average Ticket Price.'?",compare_xlsx_files,xlsx,qualified,full,20251222_011132,20251222_011256,[4],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/700fd59f-e3e6-22a9-bbe4-18e48690c507.json,Target file appeared between snapshots.,
Microsoft_03,0e998520-dce2-76ae-7b11-c71a29352dca,excel,5,"Could you compile the box office data from these images into the corresponding worksheet of the 'Seven-Day Box Office Summary.xlsx' file, including columns for 'Daily Box Office,' 'Total Tickets Sold,' 'Online Tickets Sold,' 'Operating Cinemas,' 'Total Screenings,' and 'Average Ticket Price.'?",compare_xlsx_files,xlsx,qualified,full,20251222_011256,20251222_011630,[5],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0e998520-dce2-76ae-7b11-c71a29352dca.json,Workbook non-empty cells increased from 0 to 7.,
Microsoft_03,700fd59f-e3e6-22a9-bbe4-18e48690c507,excel,5,"Could you compile the box office data from these images into the corresponding worksheet of the 'Seven-Day Box Office Summary.xlsx' file, including columns for 'Daily Box Office,' 'Total Tickets Sold,' 'Online Tickets Sold,' 'Operating Cinemas,' 'Total Screenings,' and 'Average Ticket Price.'?",compare_xlsx_files,xlsx,qualified,full,20251222_011256,20251222_011630,[5],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/700fd59f-e3e6-22a9-bbe4-18e48690c507.json,Workbook non-empty cells increased from 0 to 7.,
